what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1408984671751
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1408984671752
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1408984671752
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1408984671752
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1408984671753
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1408984671753
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1408984671754
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1408984671754
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1408984671755
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1408984671756
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1408984671756
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1408984671756
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1408984671763
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1408984671764
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1408984671764
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1408984671764
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1408984671765
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1408984671765
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1408984671766
os,sysinfo,,,"macosx",1408984671768
arch,sysinfo,,,"x86_64",1408984671768
ws,sysinfo,,,"cocoa",1408984671768
locale,sysinfo,,,"en_US",1408984671768
processors,sysinfo,,,"8",1408984671768
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1408984671768
java.runtime.version,sysinfo,,,"1.6.0_65-b14-462-11M4609",1408984671768
java.specification.name,sysinfo,,,"Java Platform API Specification",1408984671768
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1408984671768
java.specification.version,sysinfo,,,"1.6",1408984671768
java.vendor,sysinfo,,,"Apple Inc.",1408984671768
java.version,sysinfo,,,"1.6.0_65",1408984671768
java.vm.info,sysinfo,,,"mixed mode",1408984671768
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1408984671768
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1408984671768
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1408984671768
java.vm.specification.version,sysinfo,,,"1.0",1408984671768
java.vm.vendor,sysinfo,,,"Apple Inc.",1408984671768
java.vm.version,sysinfo,,,"20.65-b04-462",1408984671768
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1408984672845
started,bundle,com.coverity.desktop.launcher,7.0.2.2819-98,"com.coverity.desktop.launcher",1408984672872
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1408984672876
